Cores,Execs,AppTimeSec,ComputeSec,GCSec,ShuffleReadSec,ShuffleWriteSec,ComputeRatio,GCRatio,CommRatio
2,1,1877.5253333333333,3426.2836408676667,15.351666666666667,0.0,3.7876924656666673,0.9944087504565392,0.0044924665059602005,0.0010987830375002335
2,2,2024.1043333333334,7215.189443182,47.93933333333333,37.843333333333334,7.592556818000001,0.9873342126471264,0.006564384372134434,0.006101402980739033
2,4,2256.9686666666666,14185.018891143,126.74766666666666,59.95533333333333,14.167108857,0.9860607113652716,0.008823859275412566,0.005115429359315633
2,6,2267.624,21685.503502557,208.9896666666667,131.06733333333332,20.879830776333336,0.9836971871989572,0.009481821386326366,0.0068209914147163335
2,8,2369.459666666667,29394.975284186003,297.461,234.47533333333334,26.655382480666663,0.9813851178538694,0.009924735785398034,0.008690146360732433
2,16,2902.3205000000003,69953.61888005075,774.0195,1333.1765,58.27736994925,0.9700744657029303,0.01074003207012015,0.019185502226949452
4,2,727.7226666666667,3645.3543353166665,88.04733333333333,20.543000000000003,4.6159980166666665,0.9699074118838064,0.023415382283777236,0.006677205832415967
4,4,799.357,7628.484803500333,244.904,107.12366666666667,9.507863166333333,0.9547974097420803,0.030603562385588368,0.014599027872331133
4,8,1302.396,17100.018477914335,507.46900000000005,1110.9466666666667,19.870855418999998,0.9128271973100354,0.0271244029569879,0.06004839973297673
4,12,1186.7743333333335,26009.876408343665,877.3746666666666,1225.396,27.60159165633333,0.9241675684915768,0.03126757786875,0.04456485363967307
4,16,1205.8600000000001,37475.719429972,969.8395,3436.154,71.75257002800001,0.8930927516009972,0.023155235981177053,0.0837520124178258
