Cores,Execs,TotalCores,DatasetSizeGB,AppTimeSec,ExecRunTimeMs,Parallelism,Efficiency,TimePerUnit
2,1,2,3.9,1877.5253333333333,3445423.0,1.8341826260679994,100.0,1877.5253333333333
2,2,4,7.8,2024.1043333333334,7308564.666666667,3.609583959194857,92.75832783981984,1012.0521666666667
2,4,8,15.699999999999998,2256.9686666666666,14385889.0,6.393549990617302,83.1879219708559,564.2421666666667
2,6,12,23.399999999999995,2267.624,22046440.333333332,9.721779085866414,82.79703043067693,377.9373333333333
2,8,16,31.0,2369.459666666667,29953567.0,12.647438135418001,79.23854369610848,296.1824583333334
2,16,32,62.2,2902.3205000000003,72119092.25,24.85686122078556,64.69048932856771,181.39503125000002
4,2,8,3.9,727.7226666666667,3758560.6666666665,5.166553391083865,100.0,727.7226666666667
4,4,16,7.8,799.357,7990020.333333333,10.026906880705988,91.0385055321548,399.6785
4,8,32,15.699999999999998,1302.396,18738305.0,14.937961890972446,55.87568348387638,325.599
4,12,48,23.399999999999995,1186.7743333333335,28140248.666666668,23.787489513346134,61.31938029218135,197.79572222222222
4,16,64,31.0,1205.8600000000001,41953465.5,34.78963160226249,60.348851994980066,150.73250000000002
