TotalCores,AppTimeSec,Speedup,IdealSpeedup,Efficiency,Parallelism,Utilization%
8,1008.99,1.0,1.0,100.0,6.66,83.2
16,784.12,1.29,2.0,64.34,9.73,60.8
32,518.62,1.95,4.0,48.64,15.22,47.6
64,335.92,3.0,8.0,37.55,28.41,44.4
128,340.78,2.96,16.0,18.51,30.81,24.1
