Execs,Cores,TotalCores,MemSpillGB,DiskSpillGB,PeakHeapGB
2,4,8,4.0,1.217507635243237,2.8474428206682205
4,4,16,4.0,1.217507635243237,2.0748353178302446
8,4,32,4.0,1.217507635243237,2.7660772651433945
16,4,64,4.0,1.217507635243237,2.6745897506674132
32,4,128,4.0,1.217507635243237,2.275418450435003
