TotalCores,S1,S2,S3,S4,S5a,S5b,S6a,S6b
2,73.41,24.6,355.16,328.43,377.63,325.63,49.76,326.7
4,137.5,26.5,370.12,346.88,396.73,315.41,74.45,331.36
8,92.73,22.31,261.64,245.46,300.09,241.79,59.98,248.9
12,132.17,22.09,392.03,363.28,502.7,354.19,131.72,351.23
16,125.95,17.47,260.48,240.13,340.5,238.76,97.14,242.18
32,210.76,112.61,309.33,275.72,452.51,275.15,173.82,267.54
48,134.74,19.16,225.67,166.7,236.46,154.24,60.64,168.93
64,239.6,22.71,164.7,144.68,232.22,155.0,78.14,147.31
