Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCms,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB,Run
Weak,8,2,16,8,small_8,application_1772492797887_0666,168.960683,20.439241,380.837448,369.500817,521.216667,384.310493,158.468955,374.520806,2379.503481,2396512,30586956,12.76311405909922,311995,0.010200263144851682,314663,27429.576868,342092.576868,0.011184263542537544,29932868.423132,0.9786154733126108,16384.0,4960.735320091248,2863.3959884643555,1
Weak,8,2,16,8,small_8,application_1772492797887_0672,160.796289,14.999851,380.634480,369.307037,541.706104,382.345987,170.169459,391.710606,2412.918872,2439958,30038931,12.31124921002738,304357,0.010132084926723925,201923,26137.840249,228060.840249,0.0075921756419694165,29506513.159751,0.9822757394313067,16384.0,4960.735320091248,2771.5774154663086,2
Weak,8,2,16,8,small_8,application_1772492797887_0680,140.736306,18.418654,378.788913,347.992287,514.513554,342.597864,166.290468,343.040442,2253.627655,2271909,29234814,12.867951137127406,276031,0.009441859284618674,186840,26398.730325,213238.730325,0.007293999897690473,28745544.269675,0.9832641408176909,16384.0,4960.735320091248,2906.0830688476562,3
Weak,6,2,12,8,small_6,application_1772492797887_0681,107.027618,19.411935,377.178458,352.971053,493.728181,357.591550,132.469054,362.702300,2204.346808,2219797,21651816,9.753962186632377,201791,0.009319818716360789,95280,20978.920114,116258.92011400001,0.005369476634846704,21333766.079886,0.9853107046487926,12288.0,3740.785972595215,2586.1851959228516,1
Weak,6,2,12,8,small_6,application_1772492797887_0688,158.140743,26.777630,416.200610,384.797286,533.512025,358.352937,132.490289,341.334459,2352.867661,2372247,23106750,9.740448612644464,217644,0.009419065857379337,204063,21813.468396,225876.468396,0.009775345662890714,22663229.531604,0.9808055884797299,12288.0,3740.785972595215,2899.298973083496,2
Weak,6,2,12,8,small_6,application_1772492797887_0691,131.328074,20.082219,382.723577,352.065834,480.868762,346.619814,130.197805,349.638528,2194.768154,2210828,21380755,9.670926458322398,207534,0.009706579585239156,93859,19847.103819,113706.103819,0.005318151946411621,21059514.896181,0.9849752684683492,12288.0,3740.785972595215,2751.672882080078,3
Weak,4,2,8,8,small_4,application_1772492797887_0692,104.700432,19.061938,372.413613,351.358861,440.977955,345.859418,96.384882,348.261212,2080.258844,2095824,13711099,6.54210420340639,124327,0.009067617409807922,41346,12466.867334,53812.867334,0.003924766886593116,13532959.132666,0.9870076157035987,8192.0,2496.824870109558,2702.1875076293945,1
Weak,4,2,8,8,small_4,application_1772492797887_0694,131.289409,24.827872,389.655612,366.991155,448.090482,341.081786,96.209569,351.301290,2150.712118,2180870,14453510,6.627405576673526,134546,0.009308880680194637,56297,15738.308067,72035.308067,0.0049839317969821864,14246928.691933,0.985707187522823,8192.0,2496.824870109558,2705.9911880493164,2
Weak,4,2,8,8,small_4,application_1772492797887_0700,128.484468,24.094667,418.880810,409.624007,518.065236,423.089509,113.412589,440.125383,2477.051337,2494212,14993058,6.011140191771989,121370,0.008095079736235262,82223,14296.15117,96519.15117,0.006437589394371715,14775168.84883,0.9854673308693929,8192.0,2496.824870109558,1732.5881805419922,3
Weak,2,2,4,8,small_2,application_1772492797887_0707,131.721069,28.078525,386.182165,348.925986,422.379261,347.043364,87.412195,347.848933,2100.832721,2117433,7791872,3.6798670843422183,49190,0.006312988714393665,71042,8188.626246,79230.626246,0.010168368557132355,7663451.373754,0.9835186427284739,4096.0,1246.7278184890747,2747.1718215942383,1
Weak,2,2,4,8,small_2,application_1772492797887_0727,145.433079,26.866467,383.296563,353.973473,379.021686,302.116044,64.894189,334.203337,1991.078469,2024243,7177828,3.5459319854385054,50336,0.007012706350723366,8468,7198.729134,15666.729134000001,0.002182655969744608,7111825.270866,0.9908046376795319,4096.0,1246.7278184890747,2852.143600463867,2
Weak,2,2,4,8,small_2,application_1772492797887_0740,135.349499,24.563968,340.876367,337.741993,388.782558,297.081223,71.043704,312.031633,1908.738064,1930637,6955994,3.6029528078038475,44292,0.006367458051286415,34020,7390.315074,41410.315074,0.005953184415340208,6870291.684926,0.9876793575333733,4096.0,1246.7278184890747,2539.0712356567383,3
Weak,1,2,2,8,small_1,application_1772492797887_0755,64.370548,25.534856,336.905036,316.637872,367.098934,318.540192,48.808889,320.292460,1799.447588,1815079,3312308,1.8248836552017837,15587,0.004705782191752698,0,3653.374155,3653.374155,0.0011029693358830155,3293067.625845,0.9941912484723641,0.0,0.0,2801.9338912963867,1
Weak,1,2,2,8,small_1,application_1772492797887_0764,69.361996,25.881193,332.683932,312.164270,357.416887,309.698713,45.931654,311.534232,1765.922750,1781394,3246136,1.822244826242818,16299,0.0050210465612038424,0,3519.732331,3519.732331,0.0010842836932894984,3226317.267669,0.9938946697455064,0.0,0.0,2842.258903503418,2
Weak,1,2,2,8,small_1,application_1772492797887_0769,86.488353,22.388695,395.878932,356.492952,408.387287,348.659641,54.526088,348.260551,2022.332842,2036103,3777825,1.8554193967593968,14169,0.003750570764924261,0,4189.970911,4189.970911,0.00110909608332837,3759466.029089,0.9951403331517471,0.0,0.0,2843.250114440918,3
Weak,16,2,32,8,small_16,application_1772492797887_0779,244.952598,20.203665,409.958861,377.029266,661.749963,367.708774,290.952196,373.235195,2747.053310,2763373,69821454,25.266749729406772,753831,0.010796552589695425,987895,54484.005168,1042379.005168,0.014929207936116599,68025243.994832,0.9742742394741879,32768.0,9948.126275062561,2686.044776916504,1
Weak,16,2,32,8,small_16,application_1772492797887_0788,219.023965,18.866213,441.268568,419.184134,708.247153,388.233373,282.856047,394.888384,2873.827283,2892780,69748510,24.11123901575646,772850,0.011080523440572422,995880,56759.890219,1052639.890219,0.015091933723301042,67923020.109781,0.9738275428361265,32768.0,9948.126275062561,2766.1378479003906,2
Weak,16,2,32,8,small_16,application_1772492797887_0796,255.643406,23.824503,412.184483,387.960133,712.255451,416.610129,320.504936,373.679158,2904.895245,2931494,75604759,25.790521488360532,787018,0.01040963572147621,1452865,59816.229495,1512681.229495,0.020007751489492877,73305059.770505,0.9695826127890309,32768.0,9948.126275062561,2638.363235473633,3
MemoryStudy,16,2,32,4,small_8,application_1772492797887_0811,164.190334,20.133831,252.548677,220.270893,322.220553,222.917270,104.270248,219.080909,1526.880700,1550188,32700653,21.094636908555596,591738,0.018095601944095735,956913,30213.831715,987126.831715,0.03018676207215189,31121788.168285,0.9517176359837524,23808.0,7187.552153587341,2910.9181747436523,1
MemoryStudy,16,2,32,4,small_8,application_1772492797887_0819,174.208239,20.658818,244.928850,219.703930,365.342551,214.355532,105.225798,227.700531,1573.369216,1591129,33710851,21.186749157359323,584974,0.017352691571031535,1113779,30338.499743,1144117.499743,0.03393914617412061,31981759.500257,0.9487081622548479,23808.0,7187.552153587341,2704.913246154785,2
MemoryStudy,16,2,32,4,small_8,application_1772492797887_0842,174.472428,18.923709,247.388094,221.427256,345.427395,216.808483,107.908194,215.548094,1550.157896,1571992,33220520,21.132753856253707,576238,0.01734584527876144,952718,30260.376843,982978.376843,0.029589493988745507,31661303.623157,0.953064660732493,23808.0,7187.552153587341,2918.016845703125,3
MemoryStudy,16,2,32,6,small_8,application_1772492797887_0865,149.392480,18.426589,234.224859,228.250891,349.606136,248.369119,104.708452,243.207654,1577.461892,1599338,33706186,21.075086066860152,404064,0.011987829177706431,546745,43533.049781,590278.049781,0.017512454532263008,32711843.950219,0.9704997162900306,24576.0,7452.0311670303345,2941.1590423583984,1
MemoryStudy,16,2,32,6,small_8,application_1772492797887_0878,118.784608,19.465980,281.421542,226.152082,376.469898,274.407380,145.800309,263.828853,1708.542246,1725545,37386841,21.666685597883557,622847,0.016659524670725723,671909,52288.848218,724197.848218,0.019370394204153273,36039796.151782,0.963970081125121,24576.0,7452.0311670303345,2653.410842895508,2
MemoryStudy,16,2,32,6,small_8,application_1772492797887_0893,442.257287,28.915445,308.205948,289.112854,448.947673,297.830132,143.598711,0,0,2029982,35673034,17.57307897311404,612180,0.017160861618891177,1189880,48404.231229,1238284.231229,0.03471205256129883,33822569.768771,0.94812708581981,24576.0,7459.649914741516,2597.819160461426,3
