Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCMs,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB,Run
MemoryStudy,16,2,32,8,small_8,application_1772492797887_1041,245.644087,31.828593,297.271733,284.162451,521.644862,255.553286,111.580500,258.036787,2006.965637,2034352,38113148,18.734785327219665,374284,0.009820338115340145,1223337,46928.695203,1270265.695203,0.03332880546112328,36468598.304797,0.9568508564235366,16384.0,4960.735320091248,2663.8323516845703,1
MemoryStudy,16,2,32,8,small_8,application_1772492797887_1059,508.185614,28.880897,424.329802,303.322328,442.098987,258.416749,122.586802,276.877588,2365.942405,2396064,40694742,16.98399625385632,416148,0.010226087684743155,1752167,59800.337727,1811967.337727,0.044525834264460995,38466626.662273,0.9452480780507958,24960.0,7570.523997306824,2688.858055114746,2
MemoryStudy,16,2,32,8,small_8,application_1772492797887_1072,129.542327,21.631673,300.425039,270.834323,400.592726,283.015724,135.600950,249.908228,1792.827506,1812440,36542083,20.161816667034486,419362,0.01147613834712159,468790,36623.439335,505413.439335,0.013830996972312716,35617307.560665,0.9746928646805656,16384.0,4960.735320091248,2761.012924194336,3
