Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCMs,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB,Run
MemoryStudy,16,2,32,10,small_8,application_1772949872614_0732,174.779746,20.673021,260.947432,254.668412,464.250470,287.823067,153.009649,303.941287,1921.453872,1941511,37340235,19.23256422446228,407984,0.010926122987710174,965088,35498.897588,1000586.897588,0.026796480996651467,35931664.102412,0.9622773960156383,20992.0,6355.853946685791,2468.5419921875,1
MemoryStudy,16,2,32,10,small_8,application_1772949872614_0739,640.612355,36.118152,990.258246,321.180514,371.250326,247.154551,110.239724,226.976927,2945.125694,2988347,41341085,13.834097914331899,729431,0.017644215191739646,2953118,66335.249843,3019453.249843,0.07303759080931234,37592200.750157,0.909318193998948,20992.0,6357.472730636597,2798.565498352051,2
MemoryStudy,16,2,32,10,small_8,application_1772949872614_0748,172.149990,22.175044,241.332037,269.525948,364.132802,240.838068,116.897462,263.457647,1691.771360,1717197,35235156,20.518994617391005,302439,0.008583444330429528,657515,44735.193701,702250.193701,0.019930384122635925,34230466.806299,0.9714861715469346,0.0,0.0,2784.8333587646484,3
MemoryStudy,16,2,32,2,small_8,application_1772949872614_0753,195.003713,20.612983,0,0,0,0,0,0,0,270107,3030627,11.220097961178308,27744,0.009154541287990899,764660,12838.770829,777498.770829,0.25654716691595497,2225384.229171,0.7342982917960539,27808.0,8297.469068527222,2600.6607360839844,1
MemoryStudy,16,2,32,2,small_8,application_1772949872614_0754,127.647319,22.042929,0,0,0,0,0,0,0,213950,2278894,10.651526057490019,27569,0.012097535032344632,150781,13829.234098,164610.234098,0.07223251019924574,2086714.765902,0.9156699547684092,29184.0,8701.620272636414,2660.974365234375,2
MemoryStudy,16,2,32,2,small_8,application_1772949872614_0755,191.619428,24.416596,0,0,0,0,0,0,0,274516,2974814,10.836577831528906,28028,0.009421765528870037,738096,14253.811246,752349.811246,0.2529065048255117,2194436.188754,0.7376717296456179,28240.0,8421.09215927124,2597.6484756469727,3
