Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCMs,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB,Run
MemoryStudy,16,4,64,8,small_8,application_1772492797887_0974,465.201844,22.411673,174.249563,155.379405,537.540790,266.303751,95.329693,148.986488,1866.629498,1896909,46071503,24.287671680613027,1037485,0.02251901788400522,2938770,97458.059704,3036228.059704,0.06590251808594133,41997789.940296,0.9115784640300535,24960.0,7570.523997306824,2371.2524185180664,1
MemoryStudy,16,4,64,8,small_8,application_1772492797887_0993,461.356814,29.340812,169.308702,145.701865,284.984537,173.657574,104.123595,252.528097,1623.240340,1666880,49084490,29.4469247936264,1066579,0.021729450586122013,4237688,241810.778596,4479498.778596,0.09126098241208169,43538412.221404,0.8870095670017963,28672.0,8694.412875175476,2586.6055221557617,2
MemoryStudy,16,4,64,8,small_8,application_1772492797887_1005,229.019426,29.140215,183.428013,1602.476105,562.630899,254.937496,379.925944,649.751791,3892.587216,3922744,78141610,19.920140085613536,1562119,0.019990872980477366,3918418,154576.948106,4072994.948106,0.05212325351507347,72506496.051894,0.9278858735044491,0.0,0.0,2868.890151977539,3
